partner,border,comlang,dist,pop,gdp,gdpcap,colony,gatt,rta,EU,import,export,tradevalue
LVA,0,0,1709.45,1.97844,2.70E+10,13648.55,0,1,1,1,20637.51,15890.17,36527.67
MAC,0,0,9603.494,0.587606,4.62E+10,78585.88,0,1,0,0,0,389.199,389.199
MAR,0,0,2167.92,34.37751,1.01E+11,2926.136,0,1,1,0,177918,12664.16,190582.2
MDA,0,0,2232.566,3.55415,6.57E+09,1848.062,0,1,1,0,7498.802,1213.409,8712.211
MDG,0,0,9264.809,24.23539,9.74E+09,401.836,0,0,0,0,7805.206,196.03,8001.236
MDV,0,0,8658.082,0.409163,3.44E+09,8395.785,1,1,0,0,13707.06,1352.377,15059.44
MEX,0,0,8734.489,127.0172,1.14E+12,9005.023,0,1,1,0,134236.3,47899.1,182135.4
MHL,0,1,13280.08,0.052993,1.79E+08,3385.968,0,0,0,0,0,0,0
MKD,0,0,2093.796,2.078453,1.01E+10,4852.658,0,1,1,0,1305.91,1580.072,2885.982
MLI,0,0,4419.979,17.59969,1.27E+10,724.2563,0,1,0,0,893.389,2597.038,3490.427
MLT,0,1,2232.704,0.431333,9.75E+09,22596.18,1,1,1,1,8421.839,64721.58,73143.41
MMR,0,0,8918.275,53.89716,6.26E+10,1161.488,1,1,0,0,45095.13,791.421,45886.55
MNG,0,0,6905.756,2.959134,1.17E+10,3967.829,0,1,0,0,0,118.339,118.339
MOZ,0,0,8912.446,27.97786,1.48E+10,529.2426,0,1,0,0,6303.618,1332.456,7636.074
MUS,0,1,9885.632,1.262605,1.17E+10,9252.111,1,1,0,0,140069.9,9473.665,149543.6
MWI,0,1,8204.422,17.21523,6.40E+09,371.9857,1,1,0,0,29509.04,448.936,29957.97
MYS,0,0,10714.89,30.33101,2.96E+11,9768.326,1,1,0,0,85217.56,61034.11,146251.7
NAM,0,1,8485.825,2.45883,1.15E+10,4673.567,0,1,0,0,47345.63,206.758,47552.39
NER,0,0,4324.887,19.89912,7.14E+09,358.9582,0,1,0,0,0,3434.268,3434.268
NGA,0,1,5001.921,182.202,4.81E+11,2640.291,1,1,0,0,10665.09,135081.5,145746.6
NIC,0,0,8589.038,6.082032,1.27E+10,2086.895,0,1,1,0,23202.73,775.232,23977.96
NLD,0,0,467.948,16.93652,7.50E+11,44299.77,0,1,1,1,6339586,1466065,7805651
NOR,0,0,1127.215,5.195921,3.87E+11,74400.38,0,1,1,0,157986.3,155413.8,313400.1
NPL,0,0,7361.553,28.5137,2.12E+10,743.3229,0,1,0,0,986.163,1373.821,2359.984
NZL,0,1,18521.32,4.5957,1.74E+11,37807.97,1,1,0,0,665974.4,37436.96,703411.3
OMN,0,0,5909.112,4.490541,6.98E+10,15550.68,0,1,0,0,330.913,16548.32,16879.23
PAK,0,1,6307.295,188.9249,2.71E+11,1434.697,1,1,0,0,110567,21737.33,132304.3
PAN,0,0,8480.534,3.929141,5.21E+10,13268.11,0,1,1,0,20363.92,1892.97,22256.89
PER,0,0,10039.33,31.37667,1.89E+11,6027.126,0,1,1,0,303866.6,4532.041,308398.6
PHL,0,1,10905.85,100.6994,2.92E+11,2904.202,0,1,0,0,80525.34,45336.73,125862.1
PLW,0,1,12164.72,0.021291,2.87E+08,13498.66,1,0,0,0,5.952,0,5.952
POL,0,0,1425.768,37.99949,4.77E+11,12554.55,0,1,1,1,1895136,274431.2,2169567
PRT,0,0,1620.87,10.34865,1.99E+11,19222.15,0,1,1,1,259411.9,199372.5,458784.4
PRY,0,0,10206,6.639123,2.71E+10,4080.951,0,1,0,0,58171.54,904.696,59076.23
QAT,0,0,5318.548,2.235355,1.65E+11,73653.4,1,1,0,0,138.933,42988.38,43127.31
ROM,0,0,2099.868,19.83239,1.78E+11,8972.922,0,1,1,1,154654.7,32216.13,186870.8
RUS,0,0,3266.609,144.0968,1.33E+12,9238.287,0,1,0,0,168156.1,81129.18,249285.3
RWA,0,1,6736.945,11.60967,8.10E+09,697.3483,0,1,0,0,11515.89,208.429,11724.32
SAU,0,0,4938.795,31.54037,6.46E+11,20481.74,0,1,0,0,3923.607,244429.2,248352.8
SDN,0,0,5147.95,40.23488,9.72E+10,2414.724,1,0,0,0,0,0,0
SEN,0,0,4449.459,15.12927,1.36E+10,899.5798,0,1,0,0,29190.67,5008.531,34199.2
SGP,0,1,10917.7,5.535002,2.93E+11,52888.75,1,1,0,0,55873.93,58734.21,114608.1
SLB,0,1,14913.77,0.583591,1.13E+09,1934.856,1,1,0,0,0,33.63,33.63
SLE,0,1,5016.852,6.453184,4.21E+09,653.1318,1,1,0,0,164.667,4455.492,4620.159
SLV,0,0,8664.86,6.126583,2.59E+10,4219.35,0,1,1,0,12042.41,471.971,12514.38
SOM,0,1,6895.431,10.7871,5.93E+09,549.267,1,0,0,0,18.251,389.324,407.575
STP,0,0,5857.697,0.190344,3.18E+08,1669.063,0,0,0,0,0,0,0
SUR,0,0,7140.789,0.542975,5.15E+09,9485.319,0,1,0,0,0,563.687,563.687
SVK,0,0,1502.94,5.42405,8.73E+10,16088.28,0,1,1,1,74532.31,17763.24,92295.55
SVN,0,0,1368.908,2.063768,4.28E+10,20726.54,0,1,1,1,20584.32,11539.44,32123.77
SWE,0,0,1292.802,9.798871,4.96E+11,50579.67,0,1,1,1,317150.4,254633.5,571784
SWZ,0,1,9349.528,1.28697,4.12E+09,3200.143,1,1,0,0,14670.71,0,14670.71
SYC,0,1,8289.815,0.0929,1.44E+09,15476.02,1,1,0,0,88095.45,1278.696,89374.14
TCD,0,0,4863.29,14.03747,1.09E+10,775.6951,0,1,0,0,0,160.708,160.708
TGO,0,0,5052.809,7.304578,4.09E+09,559.6359,0,1,0,0,152.687,1295.573,1448.26
THA,0,0,9590.161,67.95936,3.95E+11,5814.77,0,1,0,0,1063148,161467.5,1224615
TJK,0,0,5453.983,8.481855,7.85E+09,925.9118,0,1,0,0,0,0,0
TKM,0,0,4797.411,5.373502,3.59E+10,6672.478,0,0,0,0,0,101.012,101.012
TMP,0,0,13217.92,1.245015,1.44E+09,1157.993,0,0,0,0,15.764,0,15.764
TON,0,1,16455.06,0.10617,4.35E+08,4098.544,1,1,0,0,36.177,0,36.177
TTO,0,1,7098.719,1.360088,2.36E+10,17321.88,1,1,1,0,2305.676,12698.4,15004.08
TUN,0,0,2063.154,11.1078,4.30E+10,3872.512,0,1,1,0,6778.712,29311.62,36090.33
TUR,0,0,2915.583,78.66583,7.18E+11,9125.688,0,1,1,0,446587.8,75159.78,521747.6
TUV,0,0,15056.94,0.009916,3.27E+07,3295.006,1,0,0,0,0,0,0
TWN,0,0,9823.558,23.46291,5.25E+11,22384.09,0,1,0,0,0,0,0
