"","census2019","covid.19.deaths","urban.rural.description","series_complete_pop_pct"
"336",21039,NA,"Micropolitan",41.8
"337",40408,162,"Small central metro",56.8
"338",4531,NA,"Rural",49.9
"339",11823,NA,"Medium central metro",35.7
"340",23951,NA,"Micropolitan",32
"341",7681,NA,"Micropolitan",51.8
"342",12882,NA,"Micropolitan",43.9
"343",12142,NA,"Rural",63
"344",86878,445,"Micropolitan",50.6
"345",11392,NA,"Rural",62.5
"346",10194,NA,"Micropolitan",40.6
"347",65435,436,"Micropolitan",52.4
"348",5761,NA,"Small central metro",33.3
"349",16426,NA,"Large central metro",55.4
"350",53544,NA,"Medium central metro",61.6
"351",6578,NA,"Micropolitan",53.9
"352",32628,144,"Micropolitan",57.4
"353",4739,NA,"Large central metro",52
"354",14305,NA,"Micropolitan",65.5
"355",12147,NA,"Micropolitan",62.1
"356",209689,679,"Small central metro",65.3
"357",32304,NA,"Micropolitan",49.2
"358",15441,NA,"Micropolitan",49.5
"359",13184,NA,"Micropolitan",38.5
"360",37562,NA,"Large central metro",59.8
"361",50621,251,"Micropolitan",46.3
"362",5150233,15996,"Large central metro",72.9
"363",18667,NA,"Micropolitan",51.6
"364",10766,NA,"Rural",39.2
"365",104897,246,"Large central metro",56.9
"366",15638,NA,"Small central metro",53.1
"367",19465,NA,"Micropolitan",49
"368",922921,1952,"Large central metro",77.4
"369",17161,NA,"Micropolitan",48.8
"370",6395,NA,"Rural",40.3
"371",34008,154,"Micropolitan",49.1
"372",21336,NA,"Micropolitan",36.4
"373",12961,NA,"Small central metro",58
"374",38469,105,"Micropolitan",45
"375",34340,111,"Micropolitan",57.7
"376",4828,NA,"Rural",55.1
"377",12969,NA,"Micropolitan",44.2
"378",51054,179,"Large central metro",58
"379",8116,NA,"Micropolitan",39.3
"380",17708,NA,"Micropolitan",48.7
"381",3821,NA,"Rural",42
"382",6646,NA,"Rural",49.5
"383",48913,113,"Medium central metro",59.4
"384",27114,NA,"Micropolitan",51.3
"385",56750,282,"Small central metro",52.5
"386",9610,NA,"Micropolitan",42.2
"387",37684,283,"Micropolitan",47.3
"388",21773,NA,"Large central metro",56
"389",21235,NA,"Micropolitan",78.4
"390",12417,NA,"Rural",52.2
"391",532403,1301,"Large central metro",67.6
"392",109862,397,"Small central metro",52.5
"393",128990,NA,"Large central metro",69
"394",49699,284,"Micropolitan",59.4
"395",696535,1486,"Large central metro",78.7
"396",108669,328,"Micropolitan",58.4
"397",15678,NA,"Micropolitan",41
"398",34096,125,"Micropolitan",60
"399",35648,120,"Micropolitan",50.9
"400",28618,NA,"Micropolitan",54.2
"401",29682,NA,"Micropolitan",48.1
"402",307774,404,"Large central metro",67.3
"403",171517,487,"Small central metro",64
"404",104009,460,"Small central metro",53.5
"405",44926,111,"Large central metro",55
"406",262966,912,"Large central metro",62.4
"407",37205,174,"Micropolitan",45.9
"408",11438,NA,"Medium central metro",57.6
"409",13359,NA,"Micropolitan",53.9
"410",13772,NA,"Micropolitan",41.2
"411",12196,NA,"Small central metro",57.4
"412",15437,NA,"Medium central metro",60.7
"413",34637,NA,"Large central metro",62.5
"414",28414,101,"Micropolitan",51.8
"415",33658,172,"Micropolitan",55
"416",14501,NA,"Micropolitan",44.2
"417",50643,NA,"Micropolitan",58.2
"418",179179,1350,"Medium central metro",61.6
"419",20916,NA,"Micropolitan",51.1
"420",16344,NA,"Small central metro",62.4
"421",15561,NA,"Micropolitan",41.3
"422",4177,NA,"Rural",35.9
"423",5335,NA,"Rural",42.8
"424",5739,NA,"Rural",57.9
"425",31782,118,"Micropolitan",52.5
"426",15513,NA,"Micropolitan",48.1
"427",141879,564,"Medium central metro",58.7
"428",259686,828,"Large central metro",63.5
"429",23491,108,"Micropolitan",48.7
"430",194672,814,"Small central metro",65.1
"431",6768,NA,"Micropolitan",56
"432",4951,NA,"Rural",42.2
"433",21634,NA,"Micropolitan",42.1
"434",5342,NA,"Medium central metro",53.5
"435",44498,233,"Micropolitan",61.2
"436",131803,242,"Medium central metro",59.3
"437",16653,NA,"Micropolitan",57
"438",75758,239,"Small central metro",45.9
"439",11520,NA,"Micropolitan",49.3
"440",16844,NA,"Micropolitan",50
"441",13887,NA,"Micropolitan",58.8
"442",16215,NA,"Micropolitan",39.5
"443",13537,NA,"Micropolitan",52.3
"444",55175,278,"Micropolitan",58.2
"445",690743,1471,"Large central metro",68.1
"446",66597,374,"Small central metro",55.7
"447",282572,1135,"Medium central metro",58.3
